"filename", "language", "JSON", "SCSS", "TypeScript", "HTML", "XML", "Markdown", "JavaScript", "EditorConfig", "Log", "comment", "blank", "total"
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\.editorconfig", "EditorConfig", 0, 0, 0, 0, 0, 0, 0, 12, 0, 1, 4, 17
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\README.md", "Markdown", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 14, 28
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\angular.json", "JSON", 119, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 144
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\debug.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\e2e\protractor.conf.js", "JavaScript", 0, 0, 0, 0, 0, 0, 28, 0, 0, 6, 2, 36
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\e2e\src\app.e2e-spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 1, 5, 24
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\e2e\src\app.po.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\e2e\tsconfig.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 15
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\firebase.json", "JSON", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\karma.conf.js", "JavaScript", 0, 0, 0, 0, 0, 0, 29, 0, 0, 2, 2, 33
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\ngsw-config.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 31
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\package-lock.json", "JSON", 18098, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18099
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\package.json", "JSON", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 60
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\app-routing.module.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 3, 28
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\app.component.html", "HTML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\app.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\app.component.spec.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 5, 36
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\app.component.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\app.module.ts", "TypeScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 2, 5, 35
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\home\all-offices\all-offices.component.html", "HTML", 0, 0, 0, 58, 0, 0, 0, 0, 0, 2, 2, 62
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\home\all-offices\all-offices.component.scss", "SCSS", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 9, 87
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\home\all-offices\all-offices.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\home\all-offices\all-offices.component.ts", "TypeScript", 0, 0, 51, 0, 0, 0, 0, 0, 0, 6, 9, 66
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\home\dialogs\create-new-office-dialog\create-new-office-dialog.component.html", "HTML", 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 4, 74
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\home\dialogs\create-new-office-dialog\create-new-office-dialog.component.scss", "SCSS", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\home\dialogs\create-new-office-dialog\create-new-office-dialog.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\home\dialogs\create-new-office-dialog\create-new-office-dialog.component.ts", "TypeScript", 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 11, 97
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\home\dialogs\delete-office-dialog\delete-office.component.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\home\dialogs\delete-office-dialog\delete-office.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\home\dialogs\delete-office-dialog\delete-office.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
